Target Account Number,Amount,Description,Error Reason
100172817779,50000,Monthly Salary for 15-Jan-2026, New record contains an old date 1/15/2026 12:00:00 AM from Q1 2026.
100153079217,60000,Monthly Salary for 15-Feb-2026, New record contains an old date 2/15/2026 12:00:00 AM from Q1 2026.
100180277374,55000,Monthly Salary for 20-Mar-2026, New record contains an old date 3/20/2026 12:00:00 AM from Q1 2026.
100144440512,45000,Monthly Salary for 10-Mar-2026, New record contains an old date 3/10/2026 12:00:00 AM from Q1 2026.
100188903985,70000,Monthly Salary for 25-Feb-2026, New record contains an old date 2/25/2026 12:00:00 AM from Q1 2026.
100180899587,70000,Correction for 10-Feb-2026, New record contains an old date 2/10/2026 12:00:00 AM from Q1 2026.
100129741520,72000,Monthly Salary for 15-May-2026, New record contains an old date 5/15/2026 12:00:00 AM from Q2 2026.
100116255379,68000,Monthly Salary for 20-Jun-2026, New record contains an old date 6/20/2026 12:00:00 AM from Q2 2026.
100146609184,50000,Missing date string in this row, Malformed Date or Description without date.
100114767465,200,Monthly Salary for 10-Jan-2026, New record contains an old date 1/10/2026 12:00:00 AM from Q1 2026.
